,MSSV,NamSinh,GioiTinh,NoiSinh,Lopsh,Khoa,Hedt,KhoaHoc,ChuyenNganh2,TinhTrang,DiaChi_TinhTP
7231,AA3FAC1AXPvAibaEXe+jQfayvnobXlf/+ufNcade,2001.0,1.0, 'Lâm Đồng', CNCL2019.2, KTTT, CLC,14.0, 7480201_CLCN,1.0, 'Thành phố Bà Rịa'
7232,7BB878A1XPvAibaEXe+jQfayvnobXplnB+Dv6V7E,2001.0,1.0, 'Thành phố Hồ Chí Minh', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Tỉnh Bình Định'
7233,7AE5672AXPvAibaEXe+jQfayvnobXiAqOZGtztiD,2001.0,1.0, 'Bình Dương', CNTT2019, KTTT, CQUI,14.0, D480201,5.0, 'Tỉnh Bình Dương'
7234,306D0C08XPvAibaEXe+jQfayvnobXsic/e4TWnIT,2001.0,1.0, 'Ninh Thuận', KTPM2019, CNPM, CQUI,14.0, D480103,1.0, 'Thành phố Phan Rang -Tháp Chàm'
7235,ADFB8C57XPvAibaEXe+jQfayvnobXn9Tbvtn19SL,2001.0,1.0, 'Quảng Bình', MMCL2019.1, MMT&TT, CLC,14.0,7480102,1.0, 'Huyện Quảng Ninh'
7236,0CA805CBXPvAibaEXe+jQfayvnobXixdI/dSeK4d,2001.0,1.0, 'Gia Lai', PMCL2019.2, CNPM, CLC,14.0, D480103,1.0, 'Gia Lai'
7237,7E45D210XPvAibaEXe+jQfayvnobXrfuQgDj3ICI,2001.0,1.0, 'Khánh Hòa', KTPM2019, CNPM, CQUI,14.0, D480103,1.0, 'Tỉnh Khánh Hòa'
7238,BCA6C296XPvAibaEXe+dErJK2QKC6b/iZvXnmipz,2001.0,1.0, 'Thanh Hóa', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Tỉnh Thanh Hóa'
7239,B4A1C044XPvAibaEXe+dErJK2QKC6XvKiibIkfbk,2001.0,1.0, 'Hà Tĩnh', CNTT2019, KTTT, CQUI,14.0, D480201,1.0, 'Tỉnh Hà Tĩnh'
7240,566515F6XPvAibaEXe+dErJK2QKC6eskvtpNXMwg,2001.0,1.0, 'Gia Lai', MMCL2019.1, MMT&TT, CLC,14.0,7480102,1.0, 'Huyện Chư Sê'
7241,2DA9FD45XPvAibaEXe+dErJK2QKC6aYTIS0Fh08i,2001.0,1.0, 'Quảng Nam', MMCL2019.1, MMT&TT, CLC,14.0,7480102,1.0, 'Huyện Thăng Bình'
7242,C7C6C8DEXPvAibaEXe+dErJK2QKC6dboQe4Tqbjx,2001.0,1.0, 'Bình Phước', MTCL2019.1, KTMT, CLC,14.0, D520214,1.0, 'Tỉnh Bình Phước'
7243,82C05E17XPvAibaEXe+dErJK2QKC6Sh57QLk3ez8,2001.0,1.0, 'Bạc Liêu', HTTT2019, HTTT, CQUI,14.0, D480104,1.0, huyện Đầm Dơi
7244,F63C5BE8XPvAibaEXe+dErJK2QKC6Q22b0hJUVKB,2001.0,1.0, 'Thành phố Hồ Chí Minh', PMCL2019.2, CNPM, CLC,14.0, D480103,1.0, 'Thành phố Hồ Chí Minh'
7245,BC98FCE6XPvAibaEXe++B0JyCbXA1ICrtG2R+FPQ,2001.0,1.0, 'Bến Tre', HTCL2019.1, HTTT, CLC,14.0, D480104,1.0, 'Xã Tân Lợi Thạnh'
7246,B3024A0DXPvAibaEXe++B0JyCbXA1F/t+O6kpXJd,2001.0,1.0, 'Bình Phước', HTCL2019.1, HTTT, CLC,14.0, D480104,5.0,tp Đồng Xoài
7247,04CD33EBXPvAibaEXe++B0JyCbXA1LAC7v3DyD0t,2001.0,1.0, 'Thành phố Hồ Chí Minh', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Quận Thủ Đức'
